endpoint,host,server_name,status,target
https://mccormick.com/api/mcp,mccormick.com,storefront-renderer,200,https://mccormick.com/api/mcp
https://makeymakey.com/api/mcp,makeymakey.com,storefront-renderer,200,https://makeymakey.com/api/mcp
https://mamasandpapas.com/api/mcp,mamasandpapas.com,storefront-renderer,200,https://mamasandpapas.com/api/mcp
https://maruzenjunkudo.co.jp/api/mcp,maruzenjunkudo.co.jp,storefront-renderer,200,https://maruzenjunkudo.co.jp/api/mcp
https://mcphee.com/api/mcp,mcphee.com,storefront-renderer,200,https://mcphee.com/api/mcp
https://me.lol/api/mcp,me.lol,storefront-renderer,200,https://me.lol/api/mcp
https://mechanicalkeyboards.com/api/mcp,mechanicalkeyboards.com,storefront-renderer,200,https://mechanicalkeyboards.com/api/mcp
https://megadeth.com/api/mcp,megadeth.com,storefront-renderer,200,https://megadeth.com/api/mcp
https://medterracbd.com/api/mcp,medterracbd.com,storefront-renderer,200,https://medterracbd.com/api/mcp
https://modcloth.com/api/mcp,modcloth.com,storefront-renderer,200,https://modcloth.com/api/mcp
https://misbahwp.com/api/mcp,misbahwp.com,storefront-renderer,200,https://misbahwp.com/api/mcp
https://molekule.com/api/mcp,molekule.com,storefront-renderer,200,https://molekule.com/api/mcp
https://melissaanddoug.com/api/mcp,melissaanddoug.com,storefront-renderer,200,https://melissaanddoug.com/api/mcp
https://megafurniture.sg/api/mcp,megafurniture.sg,storefront-renderer,200,https://megafurniture.sg/api/mcp
https://merci-merci.com/api/mcp,merci-merci.com,storefront-renderer,200,https://merci-merci.com/api/mcp
https://misumiskincare.com/api/mcp,misumiskincare.com,storefront-renderer,200,https://misumiskincare.com/api/mcp
https://momastore.org/api/mcp,momastore.org,storefront-renderer,200,https://momastore.org/api/mcp
https://mfjenterprises.com/api/mcp,mfjenterprises.com,storefront-renderer,200,https://mfjenterprises.com/api/mcp
https://merchnow.com/api/mcp,merchnow.com,storefront-renderer,200,https://merchnow.com/api/mcp
https://murad.com/api/mcp,murad.com,storefront-renderer,200,https://murad.com/api/mcp
https://morebeer.com/api/mcp,morebeer.com,storefront-renderer,200,https://morebeer.com/api/mcp
https://milkbarstore.com/api/mcp,milkbarstore.com,storefront-renderer,200,https://milkbarstore.com/api/mcp
https://moroccanoil.com/api/mcp,moroccanoil.com,storefront-renderer,200,https://moroccanoil.com/api/mcp
https://mondoshop.com/api/mcp,mondoshop.com,storefront-renderer,200,https://mondoshop.com/api/mcp
https://mophie.com/api/mcp,mophie.com,storefront-renderer,200,https://mophie.com/api/mcp
https://moodfabrics.com/api/mcp,moodfabrics.com,storefront-renderer,200,https://moodfabrics.com/api/mcp
https://momcozy.com/api/mcp,momcozy.com,storefront-renderer,200,https://momcozy.com/api/mcp
https://mdaemon.com/api/mcp,mdaemon.com,storefront-renderer,200,https://mdaemon.com/api/mcp
https://moscot.com/api/mcp,moscot.com,storefront-renderer,200,https://moscot.com/api/mcp
https://minisforum.com/api/mcp,minisforum.com,storefront-renderer,200,https://minisforum.com/api/mcp
