root_domain,host,endpoint,server_name,server_version,protocol_version,authorization_endpoint,token_endpoint,registration_endpoint,dynamic_client_registration,issuer,prm_url,scopes,http_status,verdict
slingshotapp.io,my.slingshotapp.io,https://my.slingshotapp.io/mcp,,,,https://my.slingshotapp.io/oauth/authorize,https://my.slingshotapp.io/oauth/token,https://my.slingshotapp.io/oauth/register,True,https://my.slingshotapp.io,https://my.slingshotapp.io/.well-known/oauth-protected-resource,mcp,401,auth_required
snap-render.com,app.snap-render.com,https://app.snap-render.com/mcp,SnapRender MCP Server,,,https://app.snap-render.com/authorize,https://app.snap-render.com/token,https://app.snap-render.com/register,True,https://app.snap-render.com/,https://app.snap-render.com/.well-known/oauth-protected-resource/mcp,mcp:tools,401,auth_required
socradar.com,mcp.socradar.com,https://mcp.socradar.com/,,,,https://mcp.socradar.com/authorize,https://mcp.socradar.com/token,https://mcp.socradar.com/register,True,https://mcp.socradar.com,https://mcp.socradar.com/.well-known/oauth-protected-resource,"tools:read,tools:execute",401,auth_required
split.io,docs.split.io,https://docs.split.io/mcp,,,,https://dash.readme.com/oidc/auth,https://dash.readme.com/oidc/token,https://dash.readme.com/oidc/reg,True,https://dash.readme.com/oidc,https://docs.split.io/.well-known/oauth-protected-resource/mcp,"openid,offline_access,mcp:read,mcp:write,email,profile",401,auth_required
ssalbab.com,ssalbab.com,https://ssalbab.com/api/mcp,cafe24-mcp-server,1.0.0,2025-03-26,https://wontak8484.cafe24api.com/api/v2/oauth/authorize,https://wontak8484.cafe24api.com/api/v2/oauth/token,,False,https://wontak8484.cafe24api.com,https://ssalbab.com/.well-known/oauth-protected-resource/api/mcp,"openid,mall.read_customer_order,mall.write_customer_order",200,open
superstock.com,mcp.superstock.com,https://mcp.superstock.com/mcp,,,,https://mcp.superstock.com/oauth/authorize,https://mcp.superstock.com/oauth/token,https://mcp.superstock.com/oauth/register,True,https://mcp.superstock.com,https://mcp.superstock.com/.well-known/oauth-protected-resource,search,401,auth_required
tc2000.com,mcp.tc2000.com,https://mcp.tc2000.com/,,,,https://oauth.tc2000.com/oauth2/authorize,https://oauth.tc2000.com/oauth2/token,https://oauth.tc2000.com/oauth2/clients/register,True,https://oauth.tc2000.com,https://mcp.tc2000.com/.well-known/oauth-protected-resource/,mcp:tools,401,auth_required
thoughtspot.app,agent.thoughtspot.app,https://agent.thoughtspot.app/mcp,,,,https://agent.thoughtspot.app/authorize,https://agent.thoughtspot.app/token,https://agent.thoughtspot.app/register,True,https://agent.thoughtspot.app,,,401,auth_required
tiktok.com,ads.tiktok.com,https://ads.tiktok.com/mcp,,,,https://ads.tiktok.com/api/chatgpt_app/auth,https://ads.tiktok.com/api/chatgpt_app/token,https://ads.tiktok.com/api/chatgpt_app/register,True,https://ads.tiktok.com,https://ads.tiktok.com/.well-known/oauth-protected-resource,mcp:access,401,auth_required
trata.com,api.trata.com,https://api.trata.com/mcp,,,,https://hnzadlwweggjtwvbvqia.supabase.co/auth/v1/oauth/authorize,https://hnzadlwweggjtwvbvqia.supabase.co/auth/v1/oauth/token,https://hnzadlwweggjtwvbvqia.supabase.co/auth/v1/oauth/clients/register,True,https://hnzadlwweggjtwvbvqia.supabase.co/auth/v1,https://api.trata.com/.well-known/oauth-protected-resource/mcp,email,401,auth_required
unicostudio.app,b-auth-server.unicostudio.app,https://b-auth-server.unicostudio.app/mcp,,,,,,,False,,https://b-auth-server.unicostudio.app/.well-known/oauth-protected-resource/mcp,,401,auth_required
unicostudio.app,b-level-api.unicostudio.app,https://b-level-api.unicostudio.app/mcp,,,,,,,False,,https://b-level-api.unicostudio.app/.well-known/oauth-protected-resource/mcp,,401,auth_required
vertiso.ai,memory.vertiso.ai,https://memory.vertiso.ai/mcp,,,,https://memory.vertiso.ai/oauth/authorize,https://memory.vertiso.ai/oauth/token,https://memory.vertiso.ai/oauth/register,True,https://memory.vertiso.ai,https://memory.vertiso.ai/.well-known/oauth-protected-resource,mcp,401,auth_required
zsper.com,zsper.com,https://zsper.com/api/mcp,,,,https://zsper.com/oauth/authorize,https://zsper.com/oauth/token,https://zsper.com/oauth/register,True,https://zsper.com,https://zsper.com/.well-known/oauth-protected-resource,mcp,401,auth_required
